STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,36748,0,1320
1,AL,36749,0,390
1,AL,36750,0,1150
1,AL,36751,0,340
1,AL,36752,0,730
1,AL,36754,0,100
1,AL,36756,0,2070
1,AL,36758,0,500
1,AL,36759,0,590
1,AL,36761,0,390
1,AL,36765,0,490
1,AL,36767,0,730
1,AL,36768,0,300
1,AL,36769,0,1110
1,AL,36773,0,160
1,AL,36775,0,310
1,AL,36776,0,590
1,AL,36782,0,840
1,AL,36783,0,320
1,AL,36784,0,3160
1,AL,36785,0,490
1,AL,36786,0,1270
1,AL,36790,0,110
1,AL,36792,0,480
1,AL,36793,0,190
1,AL,36801,0,9690
1,AL,36804,0,7960
1,AL,36830,0,16360
1,AL,36832,0,8380
1,AL,36850,0,1050
1,AL,36852,0,1020
1,AL,36853,0,3430
1,AL,36854,0,6680
1,AL,36855,0,570
1,AL,36856,0,2730
1,AL,36858,0,200
1,AL,36860,0,670
1,AL,36861,0,1320
1,AL,36862,0,2380
1,AL,36863,0,5020
1,AL,36866,0,1600
1,AL,36867,0,8560
1,AL,36869,0,8120
1,AL,36870,0,7360
1,AL,36871,0,400
1,AL,36874,0,3440
1,AL,36875,0,1880
1,AL,36877,0,4930
1,AL,36879,0,980
1,AL,36904,0,1560
1,AL,36907,0,650
1,AL,36908,0,870
1,AL,36912,0,680
1,AL,36915,0,220
1,AL,36916,0,230
1,AL,36919,0,730
1,AL,36921,0,430
1,AL,36922,0,240
1,AL,36925,0,1210
1,AL,99999,0,31530
2,AK,0,0,358650
2,AK,99501,0,8640
2,AK,99502,0,12350
2,AK,99503,0,8650
2,AK,99504,0,20100
2,AK,99505,0,2350
2,AK,99506,0,3010
2,AK,99507,0,19570
2,AK,99508,0,16660
2,AK,99515,0,11410
2,AK,99516,0,9810
2,AK,99517,0,8670
2,AK,99518,0,5380
2,AK,99540,0,140
2,AK,99556,0,1080
2,AK,99567,0,4290
2,AK,99568,0,130
2,AK,99572,0,190
2,AK,99573,0,440
2,AK,99577,0,13350
2,AK,99586,0,230
2,AK,99588,0,680
2,AK,99603,0,5480
2,AK,99605,0,100
2,AK,99610,0,1180
2,AK,99611,0,6620
2,AK,99615,0,6470
2,AK,99631,0,140
2,AK,99639,0,590
2,AK,99645,0,13150
2,AK,99654,0,14490
2,AK,99664,0,2310
2,AK,99669,0,7890
2,AK,99672,0,1670
2,AK,99674,0,630
2,AK,99676,0,930
2,AK,99686,0,2130
2,AK,99688,0,1320
2,AK,99701,0,8620
2,AK,99702,0,1420
2,AK,99703,0,3910
2,AK,99705,0,9430
2,AK,99709,0,11210
2,AK,99712,0,4550
2,AK,99714,0,460
2,AK,99737,0,1910
2,AK,99743,0,600
2,AK,99760,0,380
2,AK,99780,0,790
2,AK,99801,0,12260
2,AK,99824,0,1180
2,AK,99827,0,1300
2,AK,99833,0,1670
2,AK,99835,0,4570
2,AK,99901,0,6420
2,AK,99999,0,75910
4,AZ,0,0,2857440
4,AZ,85003,0,3740
4,AZ,85004,0,2660
4,AZ,85006,0,9940
4,AZ,85007,0,5310
4,AZ,85008,0,23850
4,AZ,85009,0,16450
4,AZ,85012,0,3690
4,AZ,85013,0,9930
4,AZ,85014,0,12110
4,AZ,85015,0,16290
4,AZ,85016,0,17600
4,AZ,85017,0,14890
4,AZ,85018,0,17340
4,AZ,85019,0,10630
4,AZ,85020,0,15970
4,AZ,85021,0,16390
4,AZ,85022,0,23260
4,AZ,85023,0,15520
4,AZ,85024,0,12190
4,AZ,85027,0,17840
4,AZ,85028,0,10120
4,AZ,85029,0,19690
4,AZ,85031,0,11860
4,AZ,85032,0,31360
4,AZ,85033,0,21880
4,AZ,85034,0,1990
4,AZ,85035,0,20060
4,AZ,85037,0,20190
4,AZ,85040,0,11670
4,AZ,85041,0,23890
4,AZ,85042,0,17880
4,AZ,85043,0,12700
4,AZ,85044,0,20170
4,AZ,85045,0,3200
4,AZ,85048,0,16150
4,AZ,85050,0,13660
4,AZ,85051,0,18020
4,AZ,85053,0,13490
4,AZ,85054,0,3100
4,AZ,85083,0,7960
4,AZ,85085,0,10070
4,AZ,85086,0,16770
4,AZ,85087,0,3790
4,AZ,85118,0,5090
4,AZ,85119,0,7980
4,AZ,85120,0,10410
4,AZ,85122,0,19490
4,AZ,85128,0,5180
4,AZ,85131,0,3900
4,AZ,85132,0,6890
4,AZ,85137,0,810
4,AZ,85138,0,13890
4,AZ,85139,0,6900
4,AZ,85140,0,13150
4,AZ,85142,0,23060
4,AZ,85143,0,13480
4,AZ,85145,0,790
4,AZ,85172,0,800
4,AZ,85173,0,980
4,AZ,85192,0,480
4,AZ,85193,0,1220
4,AZ,85194,0,2300
4,AZ,85201,0,20370
4,AZ,85202,0,18790
4,AZ,85203,0,15070
4,AZ,85204,0,25580
4,AZ,85205,0,17420
4,AZ,85206,0,15050
4,AZ,85207,0,19310
4,AZ,85208,0,14160
4,AZ,85209,0,16650
4,AZ,85210,0,16280
4,AZ,85212,0,12820
4,AZ,85213,0,13930
4,AZ,85215,0,7370
4,AZ,85224,0,22650
4,AZ,85225,0,31940
4,AZ,85226,0,18820
4,AZ,85233,0,17600
4,AZ,85234,0,21810
4,AZ,85248,0,16020
4,AZ,85249,0,17670
4,AZ,85250,0,9170
4,AZ,85251,0,20180
4,AZ,85253,0,7920
4,AZ,85254,0,22810
4,AZ,85255,0,19610
4,AZ,85256,0,2170
4,AZ,85257,0,14990
4,AZ,85258,0,12250
4,AZ,85259,0,10650
4,AZ,85260,0,18900
4,AZ,85262,0,5200
4,AZ,85263,0,900
4,AZ,85264,0,670
4,AZ,85266,0,4820
4,AZ,85268,0,10800
4,AZ,85281,0,21490
4,AZ,85282,0,24840
4,AZ,85283,0,21950
4,AZ,85284,0,9460
4,AZ,85286,0,17190
4,AZ,85295,0,18240
4,AZ,85296,0,18970
4,AZ,85297,0,12790
4,AZ,85298,0,12950
4,AZ,85301,0,23430
4,AZ,85302,0,17260
4,AZ,85303,0,13390
4,AZ,85304,0,12490
4,AZ,85305,0,5450
4,AZ,85306,0,11090
4,AZ,85307,0,4040
4,AZ,85308,0,30570
4,AZ,85309,0,340
4,AZ,85310,0,9250
4,AZ,85321,0,1300
4,AZ,85322,0,240
4,AZ,85323,0,16370
4,AZ,85324,0,1120
4,AZ,85326,0,21680
4,AZ,85331,0,12650
4,AZ,85333,0,200
4,AZ,85335,0,13870
4,AZ,85337,0,980
4,AZ,85338,0,21140
4,AZ,85339,0,17810
4,AZ,85340,0,12820
4,AZ,85342,0,520
4,AZ,85344,0,3990
4,AZ,85345,0,25170
4,AZ,85347,0,160
4,AZ,85348,0,610
4,AZ,85350,0,7360
4,AZ,85351,0,13320
4,AZ,85353,0,15590
4,AZ,85354,0,2300
4,AZ,85355,0,4690
4,AZ,85356,0,1240
4,AZ,85361,0,2460
4,AZ,85363,0,2700
4,AZ,85364,0,28090
4,AZ,85365,0,16930
4,AZ,85367,0,6730
4,AZ,85373,0,8080
4,AZ,85374,0,17610
4,AZ,85375,0,12930
4,AZ,85379,0,17530
4,AZ,85381,0,12190
4,AZ,85382,0,19090
4,AZ,85383,0,20530
4,AZ,85387,0,4660
4,AZ,85388,0,10670
4,AZ,85390,0,2770
4,AZ,85392,0,16520
4,AZ,85395,0,12220
4,AZ,85396,0,7170
4,AZ,85501,0,3270
4,AZ,85533,0,980
4,AZ,85534,0,860
4,AZ,85539,0,970
4,AZ,85540,0,1580
4,AZ,85541,0,8800
4,AZ,85542,0,930
4,AZ,85543,0,1250
4,AZ,85544,0,1130
4,AZ,85545,0,160
4,AZ,85546,0,5830
4,AZ,85552,0,2360
4,AZ,85602,0,3880
4,AZ,85603,0,2670
4,AZ,85606,0,320
4,AZ,85607,0,6330
4,AZ,85610,0,410
4,AZ,85611,0,330
4,AZ,85613,0,1490
4,AZ,85614,0,10310
4,AZ,85615,0,3890
4,AZ,85616,0,2070
4,AZ,85617,0,400
4,AZ,85618,0,580
4,AZ,85621,0,8890
4,AZ,85622,0,3230
4,AZ,85623,0,1900
4,AZ,85624,0,520
4,AZ,85625,0,730
4,AZ,85629,0,10780
4,AZ,85630,0,880
4,AZ,85631,0,1210
4,AZ,85632,0,240
4,AZ,85634,0,2070
4,AZ,85635,0,14790
4,AZ,85637,0,630
4,AZ,85638,0,840
4,AZ,85640,0,290
4,AZ,85641,0,10430
4,AZ,85643,0,2570
4,AZ,85645,0,780
4,AZ,85648,0,7800
4,AZ,85650,0,6360
4,AZ,85653,0,5850
4,AZ,85658,0,5490
4,AZ,85701,0,2640
4,AZ,85704,0,15650
4,AZ,85705,0,21160
4,AZ,85706,0,20780
4,AZ,85708,0,1280
4,AZ,85710,0,25870
4,AZ,85711,0,17620
4,AZ,85712,0,14080
4,AZ,85713,0,17980
4,AZ,85714,0,5710
4,AZ,85715,0,9060
4,AZ,85716,0,14220
4,AZ,85718,0,13570
4,AZ,85719,0,14910
4,AZ,85730,0,17350
4,AZ,85735,0,4080
4,AZ,85736,0,1400
4,AZ,85737,0,10720
4,AZ,85739,0,8140
4,AZ,85741,0,15640
4,AZ,85742,0,12450
4,AZ,85743,0,12680
4,AZ,85745,0,16330
4,AZ,85746,0,16990
4,AZ,85747,0,10650
4,AZ,85748,0,9250
4,AZ,85749,0,9060
4,AZ,85750,0,11800
4,AZ,85755,0,7110
4,AZ,85756,0,12190
4,AZ,85757,0,7700
4,AZ,85901,0,5500
4,AZ,85920,0,230
4,AZ,85924,0,720
4,AZ,85925,0,1470
4,AZ,85928,0,480
4,AZ,85929,0,3280
4,AZ,85935,0,1880
4,AZ,85936,0,1340
4,AZ,85937,0,2770
4,AZ,85938,0,940
4,AZ,86001,0,12140
4,AZ,86004,0,17090
4,AZ,86005,0,6810
4,AZ,86022,0,730
4,AZ,86024,0,250
4,AZ,86025,0,2220
4,AZ,86030,0,380
4,AZ,86034,0,620
4,AZ,86036,0,150
4,AZ,86039,0,560
4,AZ,86042,0,560
4,AZ,86043,0,580
4,AZ,86044,0,1150
4,AZ,86045,0,4200
4,AZ,86046,0,2500
4,AZ,86047,0,4800
4,AZ,86301,0,10460
4,AZ,86303,0,8260
4,AZ,86305,0,8450
4,AZ,86314,0,15710
4,AZ,86315,0,3430
4,AZ,86321,0,810
4,AZ,86322,0,4830
4,AZ,86323,0,7580
4,AZ,86324,0,1900
4,AZ,86325,0,2400
4,AZ,86326,0,10580
4,AZ,86327,0,4390
4,AZ,86332,0,570
4,AZ,86333,0,1980
4,AZ,86334,0,1600
4,AZ,86335,0,1770
4,AZ,86336,0,5450
4,AZ,86351,0,2880
4,AZ,86401,0,9700
4,AZ,86403,0,6960
4,AZ,86404,0,6730
4,AZ,86406,0,9730
4,AZ,86409,0,9450
4,AZ,86413,0,3350
4,AZ,86426,0,5610
4,AZ,86429,0,3000
4,AZ,86434,0,620
4,AZ,86436,0,640
